name,intro,references,pre_courses,tags
数学分析I,数学分析是数学类各专业最重要的基础课之一。基本内容包括极限论、微分学、积分学、级数理论。本课程是许多后继课程如微分方程、微分几何、复变函数、实变函数、概率论、基础物理、理论力学等学习的基础。数学分析同时也是大学数学的基本能力及思维方法的训练重要课程。具有良好的数学分析的基础对于今后的学习和研究起着关键的作用。数学分析I主要介绍一元微积分学。,伍胜健，数学分析I，北京大学出版社|方企勤等，数学分析1，高等教育出版社|彭立中，谭小江，数学分析1，高等教育出版社,,分析类
数学分析II,数学分析是数学类各专业最重要的基础课之一。基本内容包括极限论、微分学、积分学、级数理论。本课程是许多后继课程如微分方程、微分几何、复变函数、实变函数、概率论、基础物理、理论力学等学习的基础。数学分析同时也是大学数学的基本能力及思维方法的训练重要课程。具有良好的数学分析的基础对于今后的学习和研究起着关键的作用。数学分析II主要介绍级数理论。,伍胜健，数学分析II，北京大学出版社|方企勤等，数学分析2，高等教育出版社|彭立中，谭小江，数学分析2，高等教育出版社,,分析类
数学分析III,数学分析是数学类各专业最重要的基础课之一。基本内容包括极限论、微分学、积分学、级数理论。本课程是许多后继课程如微分方程、微分几何、复变函数、实变函数、概率论、基础物理、理论力学等学习的基础。数学分析同时也是大学数学的基本能力及思维方法的训练重要课程。具有良好的数学分析的基础对于今后的学习和研究起着关键的作用。数学分析III主要介绍多元微积分。,伍胜健，数学分析III，北京大学出版社|方企勤等，数学分析3，高等教育出版社|彭立中，谭小江，数学分析3，高等教育出版社,,分析类
实分析,以$Lebesgue$测度与$Lebesgue$积分理论为核心内容，为学生提供近代分析的基础知识和基本训练，提高分析论证能力。,周民强：实变函数论，北京大学出版社，2008年5月|徐森林：实变函数论，中国科技大学出版社，2002年2月,数学分析I|数学分析II|数学分析III,分析类
复分析,复分析，又名复变函数。复变函数是为数学学院各个专业开设的一门重要基础课. 通过课程学习使得同学理解和掌握复变函数的基本理论，进一步加强对数学抽象思维，逻辑推理和计算能力的训练，体会复变函数所表现的数学理论的优美之处，了解复变函数理论的相关应用。,谭小江，伍胜健：复变函数简明教程，北京大学出版社。|龚升: 简明复分析. 北京大学出版社。|Ahlfors，L.V.: Complex Analysis，3rd ed. MoGraw-Hill.NewYork.1979.,数学分析I|数学分析II|数学分析III|高等代数I|高等代数II,分析类
泛函分析,泛函分析是无穷维（线性）空间上的分析理论。它的主要内容是围绕无穷维线性空间及其上面的线性算子与线性泛函展开。泛函分析中许多概念和方法来源于经典分析。它撇开了具体经典分析问题的繁杂表面，抽象出问题的本质并在很一般的框架下进行分析讨论。  这是一门内容丰富，结论深刻，并有广泛应用的重要基础课程。,张恭庆，林源渠：泛函分析讲义（上册），北京大学出版社。|K.Yosida: Functional Analysis，Springer-Verlag.|W. Rudin: Functional Analysis，McGraw-Hill.|A.E.Tay，D.C.Lay: Introduction to Functional Analysis，John Wiley & Sons.|H.G.Heuser: Functional Analysis，John Wiley & Sons.|F. Riesz，B.Sz-Nagy: Functional Analysis，Dover Publications.,数学分析I|数学分析II|数学分析III|高等代数I|高等代数II|实分析|复分析,分析类
常微分方程,常微分方程是综合性大学数学系各专业的重要基础课，也是应用性很强的一门数学课。本课程的目的是学习和掌握常微分方程的基本知识，并为后行课（数理方程、微分几何、泛函分析等）作好准备；通过穿插的实例（特别是在历史上成功地利用微分方程解释实际现象的著名范例）培养学生利用数学理论解决实际问题的意识和初步能力。,丁同仁，李承治：常微分方程教程，高等教育出版社。|王高雄、周之铭、朱思铭、王寿松：常微分方程（第二版），高等教育出版社。|叶彦谦：常微分方程讲义（第二版），人民教育出版社。|M. Braun，Differential Equations and Their Applications，Springer-Verlag.|E. L. Ince，Ordinary Differential Equations，Dover，New York.,数学分析I|数学分析II|数学分析III|高等代数I|高等代数II|解析几何,分析类
偏微分方程,偏微分方程是让本科生了解三类基本方程，即调和方程，热方程，波方程。了解这三类基本方程在物理方面的来源，方程解的表示，基本星骓，及经典解的一般存在性理论，基本先验估计。,周蜀林，偏微分方程，北京大学出版社。|姜礼尚、陈亚浙等， 数学物理方程讲义（第一版和第二版），高等教育出版社。|F. John，Partial Differential Equations，Fourth Edition，Springer-Verlag.|L. C. Evans，Partial Differential Equations，Berkeley Math. Lecture Notes，Univ. of California，Berkeley.|E. DiBenedetto，Partial Differential Equations，Birkhauser，Boston-Basel- Berlin.,数学分析I|数学分析II|数学分析III|高等代数I|高等代数II,分析类
高等代数I,使学生学习并掌握线性方程组、矩阵、行列式、线性空间、线性变换（映射）等知识；鉴于现代代数学的主要内容是研究抽象的代数结构的性质，本课程着重培养学生由具体对象出发抽象出具有普遍性的概念、通过抽象思维和推理解决实际问题的初步能力。,北京大学数学力学系几何与代数教研室代数小组：高等代数，高等教育出版社，1984（第6 次印刷）。|蓝以中：高等代数简明教程（上册），北京大学出版社，2003（第 2 次印刷）。|丘维声：高等代数（第二版）上册，高等教育出版社，2002 年。,,代数类
高等代数II,让学生加深对线性代数的理解，能够把上学期学过的具体概念，演算应用到跟一般的线性空间，线性变换，双线性函数，同时能利用抽象的线性空间，线性变换，双线性函数等概念来解决具体的问题。,北京大学数学力学系几何与代数教研室代数小组：高等代数，高等教育出版社，1984（第6 次印刷）。|蓝以中：高等代数简明教程（上册），北京大学出版社，2003（第 2 次印刷）。|丘维声：高等代数（第二版）上册，高等教育出版社，2002 年。,高等代数I|解析几何,代数类
